id,orig,C,T,R,nC,nT,nR,jdir,checker_pass,cid,order,crit_key,criterionId,stmt,armT3,nT3,gap,transitional
R2-3-spec-e2-e20,cannot-tell,cannot-tell,established,cannot-tell,2,3,3,r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json,True,R2-3-spec-e2,20,r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,3,False,True
R2-3-spec-e2-e24,cannot-tell,cannot-tell,established,cannot-tell,3,3,3,r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json,True,R2-3-spec-e2,24,r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,3,False,True
R2-3-spec-e2-e35,cannot-tell,cannot-tell,established,cannot-tell,4,3,3,r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json,True,R2-3-spec-e2,35,r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,3,False,True
R2-3-spec-e5-e6,cannot-tell,cannot-tell,established,cannot-tell,1,4,4,r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json,True,R2-3-spec-e5,6,r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,2,False,True
R2-3-spec-e5-e10,cannot-tell,cannot-tell,established,cannot-tell,1,5,4,r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json,True,R2-3-spec-e5,10,r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,2,False,True
R2-3-spec-e5-e14,cannot-tell,cannot-tell,established,cannot-tell,2,6,3,r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json,True,R2-3-spec-e5,14,r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,3,False,True
R2-3-spec-e5-e18,cannot-tell,cannot-tell,established,cannot-tell,2,7,2,r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json,True,R2-3-spec-e5,18,r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,2,False,True
R2-4-independent-e2-e7,not-established,not-established,not-established,cannot-tell,1,1,1,r2/f9b27dd/P3-judge-run/R2-4-independent/rep-1/events.json,True,R2-4-independent-e2,7,r2/f9b27dd/P3-judge-run/R2-4-independent/rep-1/events.json|R2-4-independent,c2,version 1.4.3 is set in package.json and described in CHANGELOG.md,not-established,1,False,False
R2-4-independent-e2-e31,cannot-tell,cannot-tell,not-established,cannot-tell,1,4,2,r2/f9b27dd/P3-judge-run/R2-4-independent/rep-1/events.json,True,R2-4-independent-e2,31,r2/f9b27dd/P3-judge-run/R2-4-independent/rep-1/events.json|R2-4-independent,c2,version 1.4.3 is set in package.json and described in CHANGELOG.md,cannot-tell,3,True,False
R2-4-independent-e2-e38,established,established,established,cannot-tell,3,5,1,r2/f9b27dd/P3-judge-run/R2-4-independent/rep-1/events.json,True,R2-4-independent-e2,38,r2/f9b27dd/P3-judge-run/R2-4-independent/rep-1/events.json|R2-4-independent,c2,version 1.4.3 is set in package.json and described in CHANGELOG.md,established,3,False,False
R2-6-split-e2-e6,cannot-tell,established,cannot-tell,cannot-tell,3,1,1,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json,True,R2-6-split-e2,6,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,1,False,True
R2-6-split-e2-e7,not-established,cannot-tell,not-established,established,3,1,1,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json,True,R2-6-split-e2,7,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json|R2-6-split,c2,notes.md is an index linking the three files,not-established,1,False,False
R2-6-split-e2-e14,cannot-tell,established,cannot-tell,established,3,1,1,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json,True,R2-6-split-e2,14,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,1,False,True
R2-6-split-e2-e24,cannot-tell,established,cannot-tell,cannot-tell,3,1,1,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json,True,R2-6-split-e2,24,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,1,False,True
R2-6-split-e2-e34,cannot-tell,established,cannot-tell,cannot-tell,3,1,1,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json,True,R2-6-split-e2,34,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,1,False,True
R2-6-split-e2-e51,cannot-tell,cannot-tell,established,cannot-tell,1,3,3,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json,True,R2-6-split-e2,51,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,established,2,False,True
R2-6-split-e2-e52,established,established,established,established,1,3,3,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json,True,R2-6-split-e2,52,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json|R2-6-split,c2,notes.md is an index linking the three files,established,2,False,False
R2-6-split-e2-e61,cannot-tell,established,established,established,3,3,3,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json,True,R2-6-split-e2,61,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,established,2,False,True
R2-6-split-e2-e62,established,established,established,cannot-tell,3,3,3,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json,True,R2-6-split-e2,62,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json|R2-6-split,c2,notes.md is an index linking the three files,established,2,False,False
R2-6-split-e2-e70,cannot-tell,established,established,cannot-tell,4,3,3,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json,True,R2-6-split-e2,70,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,established,2,False,True
R2-6-split-e5-e6,cannot-tell,cannot-tell,established,cannot-tell,1,4,3,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json,True,R2-6-split-e5,6,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,2,False,True
R2-6-split-e5-e7,established,established,established,cannot-tell,1,4,3,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json,True,R2-6-split-e5,7,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json|R2-6-split,c2,notes.md is an index linking the three files,established,2,False,False
R2-6-split-e5-e12,cannot-tell,cannot-tell,established,cannot-tell,2,4,3,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json,True,R2-6-split-e5,12,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,2,False,True
